node_from,node_to,n,mean_pred,sd_pred,p_value
Lotus_lancerottensis,Plagiolepis_schmitzii,7,0.9991021358883557,0.002322632925636724,4.957978502305692e-13
Lotus_lancerottensis,Sciaridae_sp,9,0.9156699221065192,0.03260489521217548,5.3209346605628535e-6
Lotus_lancerottensis,Thysanoptera_sp_1,29,0.9890337365093308,0.01082279745319114,1.4486330430980839e-36
Lotus_lancerottensis,Thysanoptera_sp_2,9,0.8671335771842715,0.03365276132602699,3.2896964637786456e-4
Lotus_sessilifolius,Anaspis_proteus,6,0.8897219534268654,0.057000973823829924,0.011933112160966288
Lotus_sessilifolius,Chrysomya_albiceps,8,0.91121977244494,0.07257965633422145,0.003420101974586683
Lotus_sessilifolius,Lucilia_sericata,5,0.8581818792564264,0.0189497218934097,0.002357288974880178
Lotus_sessilifolius,Thysanoptera_sp_1,52,0.9600758930022891,0.04672291767441817,4.835314659226037e-30
Lotus_sessilifolius,Thysanoptera_sp_2,38,0.9563597981059581,0.033676870771192365,7.645992631164685e-27
Lotus_spartioides,Anthophora_alluaudi,7,0.8472914454940074,0.041850399401922735,0.024328693171947524
Lotus_spartioides,Camponotus_feae,21,0.9999963695617536,1.0569174180700362e-5,3.12237093383116e-87
Lotus_spartioides,Thysanoptera_sp_1,25,0.9823430748872028,0.01897866532110244,2.289571681832112e-25
Lycium_intricatum,Attalus_obscurus,6,0.9204287995809063,0.02653310021796584,1.0263293607987933e-4
Lycium_intricatum,Chrysomya_albiceps,35,0.8998298548664619,0.04996478584927231,1.3648220465118193e-13
Lycium_intricatum,Lucilia_sericata,10,0.8638974603149202,0.057251502818913,0.0064203303070961655
Lycium_intricatum,Musca_domestica,10,0.8857457749597446,0.04725967163372797,2.8068761808354046e-4
Lycium_intricatum,Myopites_nigrescens,5,0.9531703551889938,0.003653812500616239,7.765473764982624e-8
Lycium_intricatum,Plagiolepis_schmitzii,16,0.9975468741882075,0.006614910876528582,9.24767983929192e-24
Lycium_intricatum,Thysanoptera_sp_2,156,0.9518345928147165,0.053581768233435065,3.743511445303488e-76
Lycium_intricatum,Thysanoptera_sp_7,16,0.932071904802284,0.0389085544352832,7.85418095904424e-10
Nauplius_aquaticus,Anaspis_proteus,48,0.9403319271731295,0.05035850776239445,5.526705468253144e-24
Nauplius_aquaticus,Lasioglossum_viride,16,0.8797636120263094,0.04213769769242181,1.6842914825791748e-6
Nauplius_aquaticus,Meligethes_canariensis,6,0.8326990998699405,0.02880485331558226,0.03887235294687318
Nauplius_aquaticus,Plagiolepis_sp_2,14,0.916700770742291,0.05084952050501799,1.0212104613899555e-6
Nauplius_aquaticus,Themnothorax_hesperius,6,0.8870725818391265,0.04832047103853192,0.006931075113983893
Nauplius_aquaticus,Thysanoptera_sp_1,50,0.9826082244029064,0.029675264806832538,8.053052776414039e-41
Nauplius_aquaticus,Thysanoptera_sp_7,13,0.9769179970294228,0.01805700308035492,1.6907004828476313e-13
Neochamaelea_pulverulenta,Anaspis_proteus,20,0.9429509222435664,0.06464123639879246,6.28855599450085e-9
Neochamaelea_pulverulenta,Thysanoptera_sp_1,29,0.9611950256324455,0.050094988048790895,1.680619220821136e-16
Neochamaelea_pulverulenta,Thysanoptera_sp_2,20,0.9539527121106138,0.04146695557202722,9.10501439181493e-13
Neochamaelea_pulverulenta,Thysanoptera_sp_7,5,0.883311478699647,0.02081942012114094,8.628651573057874e-4
Parolinia_intermedia,Amegilla_quadrifasciata,11,0.9063763783719049,0.05775171909393301,1.1431419714489633e-4
Parolinia_intermedia,Anthophora_orotavae,5,0.9302659838387778,0.0696097285124211,0.013867596537776342
