"train_layer","test_layer","threshold","f05","f1","mcc","train_layer_name","test_layer_name","jaccard_pollinators","jaccard_plants","jaccard_edges","distance_km","layer_comparison"
1,7,0.575,0.679163170158203,0.751636342858743,0.104980869683072,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.6,0.677257983309648,0.745878125690187,0.0971628242547794,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.625,0.681881188329915,0.744892292370704,0.117119497399019,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.65,0.691341468380087,0.749081879187665,0.162468831426238,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.675,0.695590692809906,0.748430874951058,0.181186253893521,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.7,0.691991666834606,0.738771519445374,0.169480105017027,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.725,0.687354798365617,0.723537699051174,0.157321296905499,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.75,0.685934238415777,0.715713815212727,0.153649648073199,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.775,0.682605212443714,0.707660079559267,0.146517783648553,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.8,0.671189081901049,0.689241225629137,0.117617234189975,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
2,1,0.3,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.325,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.35,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.375,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.4,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.425,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.45,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.475,0.624306397210506,0.725724342503083,NA,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.5,0.624876122481484,0.716443218027452,0.0422246638352198,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.525,0.631810716900723,0.720638803841382,0.0857541060727413,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.55,0.637395317405821,0.722660188726885,0.12034517307076,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.575,0.641429655692816,0.721668589231602,0.13479688983536,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.6,0.646439576956549,0.72313620955462,0.156816655274675,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.625,0.650988162866785,0.721002431795234,0.173612171946533,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.65,0.65519362088694,0.718793444678071,0.189831571475178,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.675,0.658106493815481,0.715903571537856,0.195395080088926,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.7,0.667123657976324,0.717587477979649,0.224928404765149,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.725,0.675177706789906,0.720771606282497,0.24955572586001,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.75,0.680291630945129,0.720831208711578,0.260496941366493,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
2,1,0.775,0.679191490926325,0.7115882773972,0.253946635906539,"Tenerife South","Tenerife Teno",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
